"year","avg_citrus_export_value","total_citrus_export_value","avg_soybeans_export_value","total_soybeans_export_value"
2002,"53734292.67","644811512.00","479214618.25","5750575419.00"
2003,"56725874.92","680710499.00","663773734.92","7965284819.00"
2004,"57722146.08","692665753.00","557238451.25","6686861415.00"
2005,"54236659.92","650839919.00","523518300.08","6282219601.00"
2006,"60123013.92","721476167.00","579073582.25","6948882987.00"
2007,"60406167.08","724874005.00","833670254.17","10004043050.00"
2008,"69950133.25","839401599.00","1288050983.75","15456611805.00"
2009,"64279409.92","771352919.00","1370341082.17","16444092986.00"
2010,"79712873.33","956554480.00","1553187312.83","18638247754.00"
2011,"88234809.17","1058817710.00","1467668262.17","17612019146.00"
2012,"86573781.50","1038885378.00","2067281317.42","24807375809.00"
2013,"89671947.42","1076063369.00","1800486253.58","21605835043.00"
2014,"83334960.92","1000019531.00","1993567005.17","23922804062.00"
2015,"82678616.75","992143401.00","1576094045.75","18913128549.00"
2016,"86639862.50","1039678350.00","1907051724.17","22884620690.00"
2017,"85072849.67","1020874196.00","1794333573.50","21532002882.00"
2018,"82578647.00","990943764.00","1429812725.50","17157752706.00"
2019,"74871644.17","898459730.00","1560640514.00","18727686168.00"
2020,"94305027.88","754440223.00","1059749106.00","8477992848.00"
